,text,label_f,label_h,label_s
223,klipa vakiila prashaamta patela umaraava kaipshana ke tviita kiya vaha dara shaamtipuurna saarvajanika ruupa,1,0,0
624,bhaaratiiya khuphaiya ejemsa ke pramukha pramukha ke nepaala daura ke kya dona desha raajaniitika samvaada raaha lauta maahaula bana raha,0,0,1
1474,sunny pagi  ye baat toh kabhi sahi hai but un logo ko aap kya kahege ko kisi ka bhi rape krke muder kr dete haiii,1,1,0
2077,only islamic terrorism hai jo,0,0,1
2280,nhi mili kick,1,0,1
1797,ab to aap ye bhi bologe ki rape or atnk failane walon ke sath bhi modi ki sehmti hai warna unki kya himt,1,0,0
2279,salu bhai mary yaqen hy ap mary ko lft karawogy,1,0,1
3897,mujhe tou hameesha hate hee mila hai,0,0,0
408,this shows tolerance limit of gujju  gujjuo ko badnaam din raat karta hai or abhi tak ya zinda kaisa hai  kamaal ka thanda khoon hai gujjus ka https  twittercom sanjivbhatt status ,0,0,0
4570, navinspeaks  nitibhakaul  navin now we hate u mostkaise insan ho tumhe sharam aani chahiyerohan ke samne khade rehne ki aukat nahi hai,1,0,0
1820, th like  ,0,0,1
510,isko itna time knha hoga k aap sab ko comments par nazar daleha ha ha ha ha ha,1,0,0
2050,kon gaon bhai  ye puri duniya  virgins k wajah se to pareshan hai  inhi k chalte to sab bomb blasts and killings https  twittercom ghanifaiyyaz status ,1,0,0
1038,buuma biibiisa himda samparka kiya paaya unha sorsa bata kiya daava r,1,0,0
2020, rahulsinhazee  riya delhi main uska murder hua hai uske headline jaise zunaid ki banayi thi kyon nahi banti kyo who hindu thi,1,1,0
2442,han rape hoa bachi ka wo bhi maan baap ka qasoor tha  din deharray jawan jahan aulad maar daali tou bhi parents ka qasoor,0,1,0
2679,are mc kya cong shashan me rape nahi hota tha,1,0,1
610,dhasu lag rahe ho salman bro miss you,1,0,0
3431,shadi nhi hogi yaar aur kya,0,0,1
4437,k is waja se dosere province k log punjab ko hate kerte he bhala isme,1,1,0
581,assalamualikum jumma mubarak,1,0,0
689,tu karwa suwar ki aulad hai  suwar ne rape kiya tha teri ammi ka  apni soch gandu allahchodi,1,1,0
143,pmnamo namo aaj aapki vajha se saare duniya ghunj uthe hai only modi modi thanks,1,0,0
3064,woow  aap  se fb per ho me to  me fb per aai  ,1,0,0
3272,ab bol match haarna rape hota h,1,0,1
2939,salman bhai kahan hooo   baj gaye ab  ghanta gaya to iftar ka time hota please ek reply dedijiye   please bhaijaan ,1,0,1
2021,toh phir iska toh saikado bar rape hua hoga,0,0,1
279,vipaksha kaamgresa paarta sarakaara sthita spashta kaha duusara ora sarakaara kaha sthita usaka najara,0,0,0
517,grt super star sallu bhai,0,0,0
3214,kam sey kam budapa mein to sudhar  jao   yahan koi rape nahi ho raha tum muhajir  baloch  aur pashtun ki chinta karo,1,1,0
985,aise log sirf police ki maujoodgi me hi ghundagardi karne ki himmat karte hain police  read protection  hate hi ghayab,0,0,0
932,twitter pe beth kar fauj or riasat k faislo k khilaf qoum ko warghalana  ye hate speech to the nation hai ,0,1,0
3406,rape tumhare yaha hota bosdiwalo apni behan se sadi kar lete  suar jise bache paida karte,1,0,0
1151,teri maa ka,1,0,0
842,sikha samudaaya ke loga himda saaina borda kaalikha pota dikha tasviira seta viidiya vaayarala raha,1,0,1
1955,kha ho aap shona cant wait  ,1,0,1
3857,salman i love you pleze camm amaroc pleze i love you salman pleze camme pleze,1,0,0
1257,rehaii mil chuki hai par khauff barkaraar hai  i have been freed but the terror remains ,1,1,0
3854,ab iska rape kis ne kiya,1,0,0
1514,ye to ek dukhad ghatna hai sirjee hatya to aapke raaj me hui this  rape  extortion  scam  aur na jane kya kya  bhul gaye kya ,1,0,0
1344,phaota  barta glinna dvaara stema sela traamsaplaamta ke puurva phareda hachimsana kainsara semtara siiaitala yuuesae,1,0,0
4395, sardanarohit  jaiveershergill  are rohit ji  kabhi bjp se bhi puchh lo  kaha terrorism kam ho gaya  sucide kam ho gaye   https  twittercom zeenewshindi status ,0,0,0
3573,keya sach me salman khan ho mujhe jawab dijiye,1,0,1
2964,issliye #aap ke saare #mlas #delhi ko lootne par bhid gaye #shame   ke alawa kuch #rape case mein aur koi aur anye cases mein ander hain #thuthu,1,0,0
2812,bajye police ka nizam sahi kerne k ye duck rape ka lesson shamil kerna chahri hai bajye insaf ka mehakma sahi kere behayahi ko rokne k iqdam kare ye orat sex ki taleem dena chah rahi hai,1,0,0
818,now i hate #colorstv show #entertainmentkiraat ye kya tarika hai joke banane ka shilpa ji ki insult kar dali jokes ki apni limit   hoti wo bhi jispe joke kar re wo waha pe hai bhi nahi hate this so no respect for women #shilpashinde #westandbyshilpa,0,1,0
1729,krisha kaanuuna ke khailaapha kisaana aamdolana jaara kisaana aamdolana vajaha relava kaapha aarthika nukasaana,0,0,0
1705,allah ne bhi paigambar ki beti ko rape kiya hoga,0,0,0
2248,plllzzzzzz baat kijiye naaa i am waiting kab se,1,0,1
782,#santa aaj hm sab bina gyan ke nasha ke shikar ho rahe h aur mahan kasht bhogte h aapnasha ki lat se hate karenhttps  youtube weczhjvtvcspictwittercom bukssas,0,0,0
1823,buuma soshala miidiya vaayarala postsa pataala jinama daava kiya gaya vinaashakaara baa chiina apa chapeta le raha,1,0,1
2597,mujha bhi karni ha baat par kaisa karu ,0,0,1
805,buuma aajataka ke viidiya lamba varshana paaya jisasa pata chala viidiya krpa lata suucha phaila raha hai,1,0,1
1311,kaise hindu hai ye haramzade jo apne desh ke hi pm shab ki insult karte hainin haramiyio ke andar kisi mughal ka khoon hi daud raha hoga https  twittercom gennextindian status ,1,1,0
202,hina ki team aisi hi hai kewal nafrat hi rakhti haimanu bhai,1,0,1
2061,apna bhai sallu bhai d everlasting men  ,1,0,0
410,ava daamdiya dvaara sheyara klipa kathita rupa biijepa pramukha amita shaaha griha mamtra raajanaatha simha ajnaata mahila ke,1,0,1
2369,i hate vikas gupti plz shilpa ka naam is bandar aur ghatiya aadmise mat jodi,1,1,0
2020,ok sallu mint letest,1,0,1
2039,bhai aao ab,0,0,1
939,sirf musalman ki beti meri beti hy ramzan mein bijli milegi  yadavakhilesh ne kaha ladke rape kar sakte hain mulayam ne kaha #votebjp,0,0,0
24,r posta aaropa laga lakshma vilaasa baimka apa shaakha dii,1,0,0
1967,buuma paaya tasviira karnaataka ke yuvaka blada kaimsara piidaita,1,0,0
1843,kas yisi tarah udh astar pe rape aur dacaiti ko v rok lete and murder ko,1,0,1
2428,luv u sallu,0,0,0
3198,i think salman ne ye twitter k lie kaha hai qk salman ka ye post twitter se hi liya gya haitoh hmlog yahan kya kar rhe,1,0,1
4323,bani j kya tum pase ke liye marti ho  aur tume apne papa ke syalrime jitihoooo i reali hate u,1,1,0
3259,alwys wth u,1,0,0
3759,salman bhai mah ap ki philm jaror dekunga,0,0,0
697,bhaiya main aapka bahut bada fan hu,0,0,0
2893,khatam ho gya abb hiten bhai ko hate karte ho toh comment hi mat karo,1,0,1
2545,tere pakistani bhaiyon ke hisaab se pakistan ke sare murder  nawaz sharif ur imran khan ke crime bhee hinduwon ke khate mein,1,1,0
3292,sir sab ko pata hai na aap kise ka bura krta ho or na kise ka bura chahta ho loveyou,1,0,0
2156,please my humble request hay usko kuch bhi pata nahi hay jo uske sade huye bheje me aayaa vo sade huye mooh mese bak diya i hate you nigam,0,1,0
3571,chor hai ye,1,0,0
3808,haan  ek sath pure india ka rape karne ke liye,0,0,0
357,bharatmata lovely son modi jaihoo,1,0,0
2136,mera sabse favorite singer me se thaa tu per aaj se i hate you agar boond boond se samander banta hai toh  kam bhi ho sakta hai,0,1,0
2080,even my relatives who hate modi when start losing an argument call me bhakt koi nai,0,0,0
287,tejasva yaadava siyaasata viraasata mila chiraaga paasavaana akhilesha yaadava tula duusara vaarisa kita alaga,0,0,0
616,wo sala to baba hai asha ram ki tarha tabhi to us par bhi rape case laga hua hai kutte sirf bhaukte hi hai ,1,0,1
590,hahhaah i hate girls who call bhai abby bhaee bhai sirf apna sagaa zaati huta hai hr rah chalta bhai ni hta jisko bhai banake bth jti hen,0,1,1
60,jaha mahila kruura hamala ke mukhya aaropa kaamgresa kaaumsilara ke bhaaii vaayarala posta viidiya moda,1,0,0
397,buuma mishana mamgala ke sahanirma aara baalka samparka kiya daava khaarija kiya haikumaara abha aisa,1,1,0
960,sandhya slman bat nai karega,1,0,1
7,aise logo se sakht nafrat karta hu jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,1,1,0
1148,super jodi kreena sallu,0,0,0
2546,see againaap na apni hate nikalo uskey baad baat karengey,1,0,1
2391,aur aap kaise he,1,0,1
1916,bhai aap se bat kab hogi,1,0,1
1815,bach ke re tu bhai rape wape hojana h tera kisi din,1,1,0
2315, baj gye bhai,0,0,1
2763,sub ko farig kro or mujh say baat krna plzzzzzzzz,1,0,1
1508, bje kya hoga,1,0,1
638,postara aama aadama paarta abhadra tipanna gaya bhaajapa vidhaayaka vijemdara gup apa ishiyala tvitara haimdala,1,0,1
2471,bhai goli de rahe ho chotey bhai ko,0,0,1
3112,to kya chayiye apko,0,0,1
1961,assalam walekum bhaijaan,1,0,1
1015,mahila kisaana kaha yuuniyana ke unaka naa apa samudaaya dharma juda apa jamiina numaaimdaga raha,0,0,0
257,modi siryou come biharbecause neccessary to bjp government in biharhar har modi ghar ghar modi,1,0,1
524,i love u salman khan ek bar apsa milna cahti hu ya mara sapna ha bas ek bar love u love u love u love u love u so mach salman khan,1,0,0
2674,fan k saath aap majak toh nahi kar rahe hona,1,0,0
1059,agar drasim aisa boltey tou kub ke phansi charhaye ja chukey hotey suoreme corts az khud notice le rahee hotiaurrangerschapey,1,0,1
90,bhakt se bada anuyai hota hai,1,0,1
3745,ghus ja tv ke andar  kahi wo murder scene miss na ho jaye,1,1,0
525,kamal karte ho yr bhai,0,0,1
991,pratiyogi ke bana gotamaina tasviira durupayoga loga dahashata,1,0,0
896,likha lo aj b karachi ka rape ho ga,1,0,1
1380,bhai cross cr pts increse,1,0,0
3213,salman bhai i knw ur a big celebrity par hakk toh hume bhi milna chaye apse baat krne ka ,1,0,1
308,p m ji roj yhi khre milte ho,1,0,0
2889,yaar kabhi kisi ki band bajani ho to muze bhi tag kardena milke bajayenge like hina shivanidurga n devoleena these r in my top hate list,1,1,0
4483,nah  i hate them dimagh kharab,0,1,1
4383,wah hate speech ini namanya https  twittercom babeh_helmi status ,0,0,0
3713,awsome trailer ,1,0,0
1484,bhai jaan aap   par ayenge par ham to subah se baithe hai apke intzar main uska kya bolea,1,0,1
2139,bhai aagya bhai aagya,0,0,1
1263,bhai tu apni jaaan hai ,1,0,1
980,staimda apa kmediyana kunaala kaamara kaha vo supriima korta kathita avamaana vaala tviitsa na maapha maaga na apa shabda vaapasa lemga,0,0,0
1133,bhaijan eid mubarak aap ko pyaar karty ho,1,0,0
1011,buuma paaya vaayarala tasviira puraa jisama amita shaaha ota edita karaka laga gaya,1,0,1
193,to khul ke bole pyar hai nafrat nhi game kiu khel raha hai,1,0,1
205,pm modi ji bahut udarwadi vikas purus hain,1,0,0
2416,pavan kuman abhi toh ajao,1,0,1
3705,eid mubarak ho bhai jaan,0,0,0
1080,bhai boht acha hy bus aj ki jagah pr eid hona chahye thaeid ki prty meri trafcse jai hoooo bhaii,1,0,0
1768,hy sir kese ho aap ,1,0,1
1759,baata kaarobaara amerika lagaataara duusara vitta varsha bhaarata sabasa bada vyaapaarika bhaagiidaara bana raha,0,0,1
2096,bhai mein apka buhat bra fan hon pakistan sindh karachii,0,0,1
1222,vyakta baharupiya naha balka dilla sthaaniiya raajaniitika,1,0,0
3841,sallu miya ek bar reply dai daina apnai hand sai,1,0,1
1020,iss bar bjp ka kutta muslim pe dhabba aanne wala hai eid k din jaha b ye kutta aayega jute mar k bhagao sale k ghar me ghusu,0,0,0
1590,jaha rape hua hai beta mere lal,1,0,1
3851,mubarak bhai aap ki film  crore kama rahi hai aj ki party aap ki taraf se,1,0,0
561,bhaijan main aapka baut bada fan ho i love u bhaijan jabtak bhaijan he taptak main ho,0,0,0
2033,slman plzz m apse milna chahti huapko ek bar dekhna chahti hum apki bot bdi fan hu dil sereaallyy i like ui like ur natur,1,0,1
1825,vaayarala viidiya siddha steja allaahahuakabara udghosha nara aata haalaaka hissa jaha siddha,1,0,1
705,haha ek din baad main azaad hone wala mulk ab rooti kaa tanna mary ga ooo bhai thek ha tmre haan roti ha khate ho  nahi  time ki pet hagne k liye urto ka kuch kro ghr mn bahar ja k rape krwa k aa jati hain bechrikhane ko chor hagne ka soch beta,1,0,0
4384,aaj deepu form  me hai   i hate u,1,1,0
1857,you are great bhaijaanlove u bhai love u bhai love u bhailove u bhai love u bhai love u bhai love u bhai love u bhai v e r y much,0,0,0
2002,buuma paaya viidiya sushaamta simha raajapuuta koriyograara manapriita tuura ke daamsa nara aa raha,1,0,0
2826,bhai asr ki namaz baad aayenge kya ,1,0,0
166,good deed modi bhai jihme hmara desh fir se golden sparrow bnana hwo spna sch hogajiske liye god n apko select kiya hthnku god modi ji,0,0,0
1337,kutte kutte kutte teri movie flop hogi,1,0,0
2421,bhaijaan kamaal karte ho,1,0,1
344,daava kiya raha tasviira kisaana aamdolana kisaana tiramga bei raha,1,0,0
655,salman bhai yeh bajrangi bhaijan pe comment aa rhe hai is movie ko nhee dekhna,1,0,0
844,iftar party mere taraf se aajao,0,0,1
3746,awsomeminy salman khan,1,0,0
3098,aslam tu agr bigest fan he to kia apun smilest fan he salman khan ke,0,0,1
1502,bhai koe bata aayega baat kese karr sakte hei bhai se,1,0,1
1419,hum koi bhi bhai ka movie nahi chodte hain eid mobarak bhai,1,0,0
3384,hlo sir kya aap kbhi mujhse baat krege kuchh hai jo aapse share krna chahti hu,1,0,1
383,tamilanaada hathi kume gira jalda bacha ke loga pahumcha,0,0,0
1099,eid musalmaan ki hoti hai,1,0,1
1606,sab record peche bajarangi bhai jan agee,0,0,0
3492,aapne achha nahi keya,1,0,0
1612,i am here baat kaha krni ha plzzzzzzzzzzz baat kr lo,1,0,1
437,khatma pahaada chala pahaada samamdara ke paara amtatah sabaka rula,0,0,0
3434,sir rishi aab baap kon hai  pata chal gaya chalo choro  aap log har gai aab tu terrorism band kar do,1,0,1
1231,behnchod sahil rehman roy baap se fanda karega tujhe tere inbox me thokuga,1,0,0
743,buuma simhavaada piiechasa ke chikitsa adhikaara bata javaana praathamika upachaara kiya gaya mritya naha huii,1,0,1
3275,i m frm pakistan apki bht bht bht badi fan houn,1,0,1
1404,domada maulana apne allah ko yaad kar le jab choti si  sal ki bacchi ka rape karne wale ko pujane wale teri aukat hi kya,1,1,0
2542,ek  sal ki ladki rape karke gav me ghum raha ajay  ramdas vill and post nawar dist jalaun up  cm yogi ji ki sarkar kya kar rahi hai us ladki ko insaf milna chahiye yogi ji se nivedan hai samst gram basi nawar,0,1,0
2305,hi salman vai,1,0,1
2617,muze modi se problem nahi hai tuze problem hai tu dekha i hate congressmar jaunga lekin congress ko vote nahi dunga,0,1,0
2487,abe kha saitan ke cakkr me pade ho,1,0,1
1287,aaiiemaepha anumaana prata vyakta jiidiipa aana vaala dina baamglaadesha bhaarata piicha choda aaga jaaega kya tula saha,0,0,0
1328,nicere vai sallu,1,0,0
2708,omg salman bhai assalam o alaikum  ,1,0,1
1671,r sandesha daava yada vhaatsaeppa aapaka tiina saha ke chinha dikha isaka matalaba sarakaara ejemsa,1,0,1
1216,niita aayoga ke siiiio amitaabha kaamta kaha bhaarata jayaada lokatamtra unaka bayaana le vivaada khada gaya,0,0,0
3766,india waly nafrat ko badhawa denay ka koi mauka ni choorty un gov to apni jaga un fazool channel waly bhi un ki http  fbme ailocjy,1,0,0
3387,abhey ghandu tumarahy waha bhen koh pojtay hai k chudtay hai duniya mai sab say ziada toh rape waha hotay hai loro,1,0,1
452,agr watan se har kism ka jurm terrorism khatm krna hai or taraki dilani hai to watan se sare beeman lutere siyasatdano ka khatma zaruri hai,1,0,1
2639,bichare yaha jauhar aur protest krne se peeche to hate to vaha aayenge na,1,0,1
454,bhaiya jalore say paani chla gaya   ab kyu jaa rahe ho  ppl hate you there,1,1,0
3348,abey chutiye ye kashmir hai we hate india  neither r we a part of itindia has js occupied itjaa k haar ka sog manaogai ka mutr piyo,1,0,0
1167,welcome bajrangibhai jaansuperhit moviewelcome fance partysuperrduperbestvery nicebajarangi bhai bajarangi bhai bajarangi bhaihithithitsuper actoractressbajrangibhaikareena best watch movie lateridulfittarwithsallukareena bajarangi bhai jaan superstar,0,0,0
712,plz aap mere frnd baniye,1,0,0
667,sir aap humanbieng chalate hai aap paise dete kab tak jab tak aap haimai apko aisa rasta bataunga sab karodpati ban jayege,0,0,1
3649,so much hate   kaha se late hain venom,1,0,0
2126,edge tumhare karan mera breakup hua hai nafrat karra hu mai ab tumse kabhi yum mere idol the but ab tumhe spear maru,1,1,0
215,vhaatsaeppa soshala miidiya sheyara kiya raha phaota r na asala nyuuja riporta,1,0,0
1995,paairetsa pha da kriibiiyana ke patakatha lekhaka uddhrita kata dasa samaachaara saaita #jacksparrowiskrishna kahaana,1,0,0
2015, bj gye bhai aa jao ab,0,0,1
4138,is ko sareaam phansi do phir lag pata jai ga is ki hero giri sab nikal jai gi or jo aise hero banna chahte hai un ki bhi https  twittercom shabir_kamran status ,0,0,0
171,buuma paaya klipa  bhaaratiiya dvaara aayojita jamma kashmiira kriketa tuurnaamemta dho chii,1,0,1
1372,music thik nahi hai,1,0,0
67,nice pic modi ji,1,0,0
3175,zindagi bhar intezar bhaiiiiiis duniya mein sirf aap ke liye,0,0,1
1772,jisne kiya wo congress nekiya he aaj b riots hote he usme congree hindu women ka rape karti he sacchai pad lo,0,1,0
805,ami salman ke valobasii love u salman,1,0,0
70, jiocare mere aria me jio ka speed k s se jyada  milta hi nahi hai aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,0,0,0
530,hello sir aap online ataa ho pata b nai chalta kab ataa ho aur chale jaate ho  ,1,0,1
2583,salman khan kamine kab ata tu chor lolz,1,0,0
930, arvindkejriwal kyaa kiya hai delhi me ab takcamera lgawaya so that rape hote huye dekh skorape rokne par dhyaan lgao pm ke pap par nahi,0,0,0
4225,i hate you both mujhay khuch samajh nahe araha  naveerbinrazi,0,1,0
318,aabay india k sowar cow ka peshab penay walay  pakistan aja tujhe karachi ka peshab khane ly jaounga roz  liter pelaounga or khane hai tujhe cow ka gobar bhe khelaounga maa ke choot tere or teray bhen l loray bagwan ki,0,1,0
3155,jaha dekho waha rape rape koi kuch bolega bhi kese unke hi admi jo he,1,1,0
1413,uttara pradesha ke badaayuum saala  bahana peda lataka mila thiim siibiiaaii jaacha vishesha pksa korta sunava ke baavajuuda parivaara imsaapha imtajaaara,0,0,0
1914,toh phir apna naam hitler se hata k bullet girl rakh lo,1,0,0
2985,sir it not fair ramjan ka mahina ha picha rah gae hm sayad mukadar me nh tha ,1,0,0
2586,salman kab aate hai kab jate hai kisi ko pta nhi chalta,1,0,0
3116,dishta jeetoo salman nahi reply karte hein hamare dil ko broken karte hein,1,0,0
2343,bhuvan tu kabi social topic like aj kal boys ke liye koi law nai  girls rape ka juta case lagti he boy pe uspar tu q koi video upload nai karta,0,1,1
3574,shaqal say he tu kisi rape  ki paidawar lagta hai  bata kitnay bap hain teray,1,1,1
1248,buuma paaya pradarshana kamalesha tivaara dvaara bana hinda samaaja paarta ke kaaryakarta kiya,1,0,0
577,nahikoun bolai hate him,0,1,1
58,kiu app apne desh ki paisa ko kharab kar rahe hoapne desh to ghum ke dekha nehiaap chale dushre ki desh ghumnekoi vala kam aapse nehi hoga modi g,1,0,0
1300,soshala miidiya tanishka ke vijnaapana ke virodha kaartuuna,0,0,0
2015,ho hi na jaye nafrat ho jaye to sara issue hi hatam,1,1,0
902,osm party salman bhai apka gift,1,0,0
99,fir bhi hindu terrorism secular logonko najar ata hai aur yoga me communalism  safronisation unka yoga virodh hindu virodh nahi  secularism  shanti sandesh samazna chahiye https  twittercom poojasingh status ,0,0,0
